Date,District,Address,Transaction Price,Sq Price,Area,Source,Link
2025-11-14,Tuen Mun,"Flat C, 16/F, Hip Pont Building",HKD$2.8 Millions,"@$6,651",,LAND,https://www.28hse.com/en/estate/detail/hip-pont-building-6718/transaction/deal-1471743
2025-11-14,Tuen Mun,"Flat 1, 5/F, Block C",HKD$4 Millions,"@$7,463",536ft²,LAND,https://www.28hse.com/en/estate/detail/rainbow-garden-4448/transaction/deal-1471742
2025-11-14,Yuen Long,"Flat E, 16/F, Block 3",HKD$1.63 Millions,"@$3,196",510ft²,LAND,https://www.28hse.com/en/estate/detail/scenic-garden-4258/transaction/deal-1471741
2025-11-14,Tuen Mun,"Flat F, 2/F, Block 3",HKD$3.76 Millions,"@$6,562",573ft²,LAND,https://www.28hse.com/en/estate/detail/kam-fai-garden-4434/transaction/deal-1471739
2025-11-14,Yuen Long,"6th Street (house), Section C (6th Street)","HKD$25,000 ",@$28,902ft²,MIDLAND,https://www.28hse.com/en/estate/detail/fairview-park-27654/transaction/rent/deal-1471737
2025-11-14,Tai Po,"Flat D, 5/F, Yee Fai Court--block 2",HKD$3.51 Millions,"@$7,852",,LAND,https://www.28hse.com/en/estate/detail/tai-po-plaza-4141/transaction/deal-1471735
2025-11-14,Tuen Mun,"Flat B, 6/F, Block 8",HKD$3.68 Millions,"@$8,538",431ft²,LAND,https://www.28hse.com/en/estate/detail/lung-mun-oasis-4467/transaction/deal-1471732
2025-11-14,Tsuen Wan,"Flat G, 29/F, Block 3",HKD$4.42 Millions,"@$9,266",477ft²,LAND,https://www.28hse.com/en/estate/detail/greenview-court-4601/transaction/deal-1471731
2025-11-14,Tuen Mun,"Flat E, 35/F, Block 5",HKD$3.338 Millions,"@$7,745",431ft²,LAND,https://www.28hse.com/en/estate/detail/tsui-ning-garden-4452/transaction/deal-1471727
2025-11-14,Kwai Chung,"Flat 5, 4/F, Block A",HKD$2.78 Millions,"@$9,858",282ft²,LAND,https://www.28hse.com/en/estate/detail/po-sing-centre-4684/transaction/deal-1471726
2025-11-14,Kwai Chung,"Flat 1, 8/F, Sing Shing Building",HKD$3.075 Millions,"@$8,113",379ft²,LAND,https://www.28hse.com/en/estate/detail/sing-shing-building-8216/transaction/deal-1471724
2025-11-14,Tin Shui Wai,"Flat 4, 10/F, Block C--yau Tai House",HKD$3.45 Millions,"@$6,319",546ft²,LAND,https://www.28hse.com/en/estate/detail/tin-yau-court-4373/transaction/deal-1471722
2025-11-14,Tsuen Wan,"Flat G, 10/F, Tsuen Fung Centre",HKD$5.401 Millions,"@$10,955",493ft²,LAND,https://www.28hse.com/en/estate/detail/tsuen-fung-centre-4602/transaction/deal-1471713
2025-11-14,Yuen Long,"Flat C, 22/F, Block 1",HKD$4 Millions,"@$6,579",,LAND,https://www.28hse.com/en/estate/detail/crystal-park-4270/transaction/deal-1471712
2025-11-16,Wan Chai,"Flat C, Middle, Tower 3, Phase 2","HKD$29,000 ",@$65,443ft²,CENTANET,https://www.28hse.com/en/estate/detail/the-avenue-7958/transaction/rent/deal-1471782
2025-11-16,Wan Chai,"Flat C, Low, Tower 2, Phase 2","HKD$26,000 ",@$59,443ft²,CENTANET,https://www.28hse.com/en/estate/detail/the-avenue-7958/transaction/rent/deal-1471781
2025-11-16,Wan Chai,"Flat L, Middle, Tower 2, Phase 2","HKD$22,500 ",@$68,329ft²,CENTANET,https://www.28hse.com/en/estate/detail/the-avenue-7958/transaction/rent/deal-1471780
2025-11-16,Taikoo Shing,"Flat G, High, Kin On Mansion, On Shing Terrace","HKD$24,000 ",@$48,503ft²,MIDLAND,https://www.28hse.com/en/estate/detail/taikoo-shing-1140/transaction/rent/deal-1471766
2025-11-16,Yuen Long,"Flat E, High, Block 3, Scenic Gardens","HKD$14,600 ",@$30,485ft²,CENTANET,https://www.28hse.com/en/estate/detail/scenic-garden-4258/transaction/rent/deal-1471740
2025-11-16,Tin Shui Wai,"Flat A1, Low, Tower 12, Phase 2","HKD$20,000 ",@$30,667ft²,CENTANET,https://www.28hse.com/en/estate/detail/wetland-seasons-park-23684/transaction/rent/deal-1471704
2025-11-16,Tseung Kwan O,"Flat A, High, Block 07, Phase 1","HKD$22,000 ",@$40,547ft²,MIDLAND,https://www.28hse.com/en/estate/detail/park-central-4007/transaction/rent/deal-1471656
2025-11-16,Tung Chung,"Flat E, High, Tower 2, Phase 1 Monterey Cove","HKD$15,000 ",@$28,543ft²,CENTANET,https://www.28hse.com/en/estate/detail/caribbean-coast-4710/transaction/rent/deal-1471644
2025-11-16,Tung Chung,"Flat H, High, Tower 6, Phase 2 Albany Cove",HKD$9.2 Millions,"@$10,211",901ft²,CENTANET,https://www.28hse.com/en/estate/detail/caribbean-coast-4710/transaction/deal-1471643
2025-11-16,Ma On Shan,"Flat D, Low, Block 6, Phase 4 Double Cove Grandview","HKD$19,000 ",@$38,496ft²,CENTANET,https://www.28hse.com/en/estate/detail/double-cove-7508/transaction/rent/deal-1471629
2025-11-16,Tsuen Wan,"Flat 8, Middle, Block Q, Luk Yeung Sun Chuen","HKD$18,500 ",@$39,475ft²,CENTANET,https://www.28hse.com/en/estate/detail/luk-yeung-sun-chuen-4579/transaction/rent/deal-1471594
2025-11-16,Tung Chung,"Flat 2, High, Tower 3b, Phase 1","HKD$18,000 ",@$37,484ft²,CENTANET,https://www.28hse.com/en/estate/detail/century-link-8549/transaction/rent/deal-1471579
2025-11-16,Ma Wan,"Flat F, High, Block 6, Phase 2","HKD$16,500 ",@$31,531ft²,CENTANET,https://www.28hse.com/en/estate/detail/park-island-4690/transaction/rent/deal-1471567
2025-11-16,Tung Chung,"Flat C, High, Block 5, Phase 2","HKD$18,500 ",@$30,607ft²,CENTANET,https://www.28hse.com/en/estate/detail/tung-chung-crescent-4713/transaction/rent/deal-1471554
2025-11-16,Tin Shui Wai,"Flat B, High, Block 1, Phase 7 Kenswood Court","HKD$15,000 ",@$24,630ft²,CENTANET,https://www.28hse.com/en/estate/detail/kingswood-villas-4390/transaction/rent/deal-1471529
2025-11-16,Tin Shui Wai,"Flat G, High, Block 4, Phase 5 Lynwood Court","HKD$13,800 ",@$25,547ft²,CENTANET,https://www.28hse.com/en/estate/detail/kingswood-villas-4390/transaction/rent/deal-1471528
2025-11-16,Tung Chung,"Flat H, Middle, Block 1, Phase 1","HKD$14,000 ",@$37,381ft²,CENTANET,https://www.28hse.com/en/estate/detail/coastal-skyline-4711/transaction/rent/deal-1471512
2025-11-16,Pak Shek Kok,"Flat A, Block 10 (lowrise)","HKD$26,000 ",@$35,737ft²,MIDLAND,https://www.28hse.com/en/estate/detail/mayfair-by-the-sea-i-ii-8419/transaction/rent/deal-1471492
