Date,District,Address,Transaction Price,Sq Price,Area,Source,Link
2023-11-07,Western mid-levels,"Flat F, High, Block 2","HKD$50,000 ",@$48,"1,052ft²",MIDLAND,https://www.28hse.com/en/estate/detail/robinson-place-380/transaction/rent/deal-1294512
2023-11-07,Tuen Mun,"Flat A, Low, Block 3, Phase 1","HKD$11,800 ",@$30,393ft²,MIDLAND,https://www.28hse.com/en/estate/detail/tuen-mun-town-plaza-4433/transaction/rent/deal-1292514
2023-11-07,Tuen Mun,"Flat H, Low, Block 3, Phase 1","HKD$10,500 ",@$28,369ft²,MIDLAND,https://www.28hse.com/en/estate/detail/tuen-mun-town-plaza-4433/transaction/rent/deal-1292513
2023-11-07,Tsuen Wan,"Flat A, Low, Block 5, Phase Ii","HKD$17,000 ",@$25,668ft²,MIDLAND,https://www.28hse.com/en/estate/detail/belvedere-garden-4581/transaction/rent/deal-1291565
2023-11-07,Kowloon Bay,"Flat 8, Middle, Block E, Phase 1","HKD$13,500 ",@$36,375ft²,MIDLAND,https://www.28hse.com/en/estate/detail/amoy-gardens-2081/transaction/rent/deal-1290683
2023-11-07,Tiu Keng Leng,"Flat E, High, Tower 5, Phase 1 (metro Town)","HKD$18,500 ",@$38,487ft²,MIDLAND,https://www.28hse.com/en/estate/detail/metro-town-4012/transaction/rent/deal-1289796
2023-11-07,Tin Shui Wai,"Flat E, Low, Block 03, Sherwood Court","HKD$10,200 ",@$23,448ft²,MIDLAND,https://www.28hse.com/en/estate/detail/kingswood-villas-4390/transaction/rent/deal-1289565
2023-11-07,Po Lam,"Flat G, Low, Block 06, Phase 1","HKD$16,000 ",@$44,364ft²,MIDLAND,https://www.28hse.com/en/estate/detail/the-metro-city-4000/transaction/rent/deal-1287846
2023-11-07,Po Lam,"Flat G, Low, Block 08, Phase 2","HKD$14,800 ",@$41,363ft²,MIDLAND,https://www.28hse.com/en/estate/detail/the-metro-city-4000/transaction/rent/deal-1287845
2023-11-07,Mei Foo,"Flat C, Low, Glee Path 06, Phase Iii","HKD$19,700 ",@$27,717ft²,MIDLAND,https://www.28hse.com/en/estate/detail/mei-foo-sun-chuen-2520/transaction/rent/deal-1286771
2023-11-07,Mei Foo,"Flat B, Middle, Broadway 114, Phase Viii","HKD$18,800 ",@$28,671ft²,MIDLAND,https://www.28hse.com/en/estate/detail/mei-foo-sun-chuen-2520/transaction/rent/deal-1286770
2023-11-07,Heng Fa Chuen,"Flat 1, Middle, Block 25","HKD$22,500 ",@$37,614ft²,MIDLAND,https://www.28hse.com/en/estate/detail/heng-fa-chuen-1240/transaction/rent/deal-1285395
2023-11-07,ShaTin,"Flat B, Middle, Stage 2 - Blk 2 - (archie Garden), Stage 2","HKD$12,000 ",@$45,269ft²,MIDLAND,https://www.28hse.com/en/estate/detail/shatinpark-4118/transaction/rent/deal-727077
2023-11-07,Cheung Sha Wan,"Flat C, High, Block 1","HKD$19,000 ",@$36,534ft²,MIDLAND,https://www.28hse.com/en/estate/detail/the-sparkle-2508/transaction/rent/deal-726909
2023-11-07,Lohas Park,"Flat M, High, Tower 3, Lp6","HKD$17,000 ",@$37,460ft²,MIDLAND,https://www.28hse.com/en/estate/detail/lp6-26149/transaction/rent/deal-725440
2023-11-07,Sai Ying Pun,"Flat B, Low, One．artlane","HKD$20,000 ",@$78,257ft²,MIDLAND,https://www.28hse.com/en/estate/detail/one-artlane-22785/transaction/rent/deal-721314
2023-11-07,Lohas Park,"Flat C, High, Tower 3a, Phase 4b Wings At Sea Ii","HKD$17,200 ",@$35,491ft²,CENTANET,https://www.28hse.com/en/estate/detail/wings-at-seaii-26155/transaction/rent/deal-694757
2023-11-07,Lohas Park,"Flat A, High, Tower 2 (2b), Phase 7a Montara","HKD$18,500 ",@$35,529ft²,CENTANET,https://www.28hse.com/en/estate/detail/montara-23609/transaction/rent/deal-694046
2023-11-07,Lohas Park,"Flat A, Middle, Tower 7 - R Wing, Phase 2b Le Prime","HKD$17,800 ",@$26,680ft²,CENTANET,https://www.28hse.com/en/estate/detail/le-prime-23563/transaction/rent/deal-692612
